.,Sources,Query,Search engine,Type,Category,Smells induced,nb_smells_induced
S140,https://www.showwcase.com/show/16275/mongodb-schema-design-best-practices-to-try-in-2022,MongoDB code smells,Google Belgium,Blog post/Online article,Blog post/Online article,"Abusive use of indexes, Separating data accessed together, Working set exceeds memory",3
S141,https://jira.mongodb.org/browse/SERVER-40070,MongoDB smells,Google Belgium,Bug report,Project Artifact,Using $ prefixed fields,1
S142,https://brightsec.com/blog/sql-injection-in-mongodb-examples-and-prevention/,MongoDB mistakes,Google Belgium,Blog post/Online article,Blog post/Online article,No input sanitizing,1
S144,https://www.mongodb.com/community/forums/t/join-table-equivalent-in-mongodb/8895,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Separating data accessed together,1
S146,https://www.mongodb.com/community/forums/t/positional-operator-vs-elemmatch-performance/148779/3,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S147,https://www.mongodb.com/community/forums/t/data-modeling-for-reward-program/11453,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S148,https://www.mongodb.com/community/forums/t/performance-of-push-to-update-large-document/153946,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S149,https://www.mongodb.com/community/forums/t/is-it-common-to-use-single-document-collections-for-schema-validation/149540,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,"Too many collections, Separating data accessed together",2
S150,https://www.mongodb.com/community/forums/t/db-for-every-customer/107363,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Too many collections,1
S151,https://www.mongodb.com/community/forums/t/catalogue-design-for-complex-pricing-model/151983/2,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Separating data accessed together,1
S152,https://www.mongodb.com/community/forums/t/tasks-and-subtasks/147521,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Unbound arrays,1
S153,https://www.mongodb.com/community/forums/t/need-help-structuring-my-database-to-optimise-scaling/135521/2,MongoDB antipatterns,MongoDB Forum,Forum post,Discussion,Too many collections,1
S154,https://www.mongodb.com/community/forums/t/how-to-manage-a-db-with-collections-with-different-fields/98287/8,MongoDB code smells,MongoDB Forum,Forum post,Discussion,"Too long document keys, Relying on transactions",2
S171,https://www.amazon.com/50-Tips-Tricks-MongoDB-Developers-ebook,SNOWBALLING,SNOWBALLING,Book,Book,"Using a document for ""_id"", Unbound arrays, Abusive use of indexes, Using GridFS for small binary data, Separating data accessed together",5
S176,https://www.amazon.com/MongoDB-Definitive-Powerful-Scalable-Storage,SNOWBALLING,SNOWBALLING,Book,Book,"Immortal cursors, Abusive use of indexes, Large skips for pagination",3
